Confusion	-1.5	0.2893235202561208
Confusion	-1.0	0.2880499551064477
Confusion	-0.5	0.29348557723398544
Confusion	0.0	0.304986280163972
Confusion	0.5	0.3143414287600505
Confusion	1.0	0.32144152521798597
Confusion	1.5	0.32766433125668415
Myths and Fairytales	-1.5	0.5936261289992332
Myths and Fairytales	-1.0	0.5766847488181396
Myths and Fairytales	-0.5	0.5540483490739921
Myths and Fairytales	0.0	0.5291244154606701
Myths and Fairytales	0.5	0.5041289644235712
Myths and Fairytales	1.0	0.47894222639533446
Myths and Fairytales	1.5	0.4492601177283657
Misconceptions	-1.5	0.6435477456276317
Misconceptions	-1.0	0.6482622635869337
Misconceptions	-0.5	0.6526541481968439
Misconceptions	0.0	0.6556222012316106
Misconceptions	0.5	0.6563679346599673
Misconceptions	1.0	0.6541550817524521
Misconceptions	1.5	0.6497185946748019
Paranormal	-1.5	0.42896661922613977
Paranormal	-1.0	0.40676948092147786
Paranormal	-0.5	0.3819693352359233
Paranormal	0.0	0.3597892283094336
Paranormal	0.5	0.3399023387893446
Paranormal	1.0	0.32077339716324177
Paranormal	1.5	0.3015193226858563
Religion	-1.5	0.5330296019986502
Religion	-1.0	0.5087931311818483
Religion	-0.5	0.4726822158345334
Religion	0.0	0.43450745472544966
Religion	0.5	0.40785037195463264
Religion	1.0	0.3946247455514387
Religion	1.5	0.38512701766545615
Superstitions	-1.5	0.6968804479297693
Superstitions	-1.0	0.7060656661327024
Superstitions	-0.5	0.7159967268211225
Superstitions	0.0	0.7274126121917807
Superstitions	0.5	0.7374420446916509
Superstitions	1.0	0.7453679940921734
Superstitions	1.5	0.7464745275169835
Conspiracies	-1.5	0.8227406004299777
Conspiracies	-1.0	0.832074697469586
Conspiracies	-0.5	0.8405239664661223
Conspiracies	0.0	0.846162828890395
Conspiracies	0.5	0.8493771583066573
Conspiracies	1.0	0.8502184027133414
Conspiracies	1.5	0.8496912849453101
Stereotypes	-1.5	0.8049409154832986
Stereotypes	-1.0	0.8074861689010064
Stereotypes	-0.5	0.8163555592897688
Stereotypes	0.0	0.8266830065109669
Stereotypes	0.5	0.8295417234341205
Stereotypes	1.0	0.8235068579454824
Stereotypes	1.5	0.8157325295021701
Misinformation	-1.5	0.41726496357148307
Misinformation	-1.0	0.44201852907981193
Misinformation	-0.5	0.4487971756792655
Misinformation	0.0	0.4406786781666255
Misinformation	0.5	0.4224616708741999
Misinformation	1.0	0.3990146555622383
Misinformation	1.5	0.374256878026707
Subjective	-1.5	0.5696349312817514
Subjective	-1.0	0.561647271389238
Subjective	-0.5	0.540928707709553
Subjective	0.0	0.5047703082405237
Subjective	0.5	0.45060594551071476
Subjective	1.0	0.3878741615141698
Subjective	1.5	0.34673791685834404
Advertising	-1.5	0.672340057561773
Advertising	-1.0	0.6868524627694319
Advertising	-0.5	0.7030188853818339
Advertising	0.0	0.7194499920025498
Advertising	0.5	0.736169326654285
Advertising	1.0	0.7509840815439996
Advertising	1.5	0.7620175953627761
